actividad,latitud,longitud,categoria,web,descripcion
Playa de la Barceloneta,41.37872157,2.192278098,Playa,www.bcn.cat/platges,"Aparcamientos reservados. Itinerario adaptado hasta la playa seca. Itinerario adaptado hasta el agua de la playa, Plataforma de pasarelas para la estancia de los usuarios y usuarias. Duchas, vestuarios y baños adaptados. Taquillas adaptadas. Grua elevadora, dos sillas anfibias, chaleco salvavidas, flotadores y parasoles."
Playa de la Nueva Icaria,41.39047662,2.202338264,Playa,www.bcn.cat/platges,"Aparcamientos reservados en el paseo maritimo. Itinerario adaptado hasta la playa seca. Itinerario adaptado hasta el agua de la playa. Plataforma de pasarelas para la estancia de los usuarios y usuarias. Duchas, vestuarios y baños adaptados. Grua elevadora, dos sillas anfibias, chaleco salvavidas, flotadores y para-soles. Pergola para proteger del sol a la zona de espera de la playa."
Playa del Forum,41.41707693,2.231379796,Playa,www.bcn.cat/platges,"Plazas de parking reservadas. Itinerario adaptado hasta la playa seca. Itinerario adaptado hasta el agua de la playa. Servicio de hamacas gratuito para tener mas comodidad. Duchas, vestuarios y baños adaptados. Zona de sombra habilitada. Silla hidraulica elevadora para acceder al agua."
Playa de San Sebastia,41.37036929,2.189082506,Playa,www.bcn.cat/platges,Plazas de aparcamiento reservadas para vehiculos de personas con movilidad reducida. Pasarela doble de madera hasta el agua. Plataformas laterales para dejar las sillas de ruedas. Espacio de uso preferente. Caseta vestuario y aseo adaptado. Alquiler de sombrillas y hamacas. Ducha con silla adosada
Playa de Bogatell,41.39710273,2.211043562,Playa,www.bcn.cat/platges,Plazas de aparcamiento reservadas para vehiculos de personas con movilidad reducida. Pasarela doble de madera hasta el agua. Plataformas laterales para dejar las sillas de ruedas. Espacio de uso preferente. Caseta vestuario y aseo adaptado. Alquiler de sombrillas y hamacas. Ducha con silla adosada.
Playa de la Mar Bella,41.39886287,2.212065699,Playa,www.bcn.cat/platges,Plazas de aparcamiento reservadas para vehiculos de personas con movilidad reducida. Pasarela doble de madera hasta el agua. Plataformas laterales para dejar las sillas de ruedas. Espacio de uso preferente. Caseta vestuario y aseo adaptado. Alquiler de sombrillas y hamacas. Ducha con silla adosada.
Playa de Llevant,41.40497558,2.217768439,Playa,www.bcn.cat/platges,Plazas de aparcamiento reservadas para vehiculos de personas con movilidad reducida. Pasarela doble de madera hasta el agua. Plataformas laterales para dejar las sillas de ruedas. Espacio de uso preferente. Caseta vestuario y aseo adaptado. Alquiler de sombrillas y hamacas. Ducha con silla adosada.
Playa de Somorrostro,41.38386142,2.195781718,Playa,www.bcn.cat/platges,Plazas de aparcamiento reservadas para vehiculos de personas con movilidad reducida. Pasarela doble de madera hasta el agua. Plataformas laterales para dejar las sillas de ruedas. Espacio de uso preferente. Caseta vestuario y aseo adaptado. Alquiler de sombrillas y hamacas. Ducha con silla adosada.
Puerto Olimpico de Barcelona,41.38772238,2.199282061,Destacable,https://portolimpic.barcelona/ca,"El Puerto Olimpico de Barcelona es un puerto deportivo que esta ubicado frente a la Villa Olimpica, entre las playas de la Barceloneta y Nova Icaria, en el distrito de San Martin."
La Sagrada Familia,41.4044523,2.174434314,Destacable,https://sagradafamilia.org/en/,"El Templo Expiatorio de la Sagrada Familia, conocido simplemente como la Sagrada Familia, es una basilica catolica de Barcelona, diseñada por el arquitecto Antoni Gaudi. Iniciada en 1882, todavia esta en construccion. Es la obra maestra de Gaudi, y el maximo exponente de la arquitectura modernista catalana."
La Pedrera ,41.39660009,2.161390661,Destacable,https://www.lapedrera.com/en,"La Casa Mila, llamada popularmente «La Pedrera», es un edificio modernista​ obra del arquitecto Antoni Gaudi, construido entre los años 1906 y 1910"
Casa Batllo ,41.39173522,2.164964072,Destacable,https://www.casabatllo.es/,"La Casa Batllo es un edificio obra del arquitecto Antoni Gaudi, maximo representante del modernismo catalan. Se trata de una remodelacion integral de un edificio previamente existente en el solar, obra de Emilio Sala Cortes."
La Rambla,41.38572137,2.169842555,Destacable,http://www.barcelonaturisme.com/,"La Rambla, tambien llamada Las Ramblas​, es un emblematico paseo de la ciudad de Barcelona que discurre entre la plaza de Cataluña, centro neuralgico de la ciudad, y el puerto antiguo"
Mercado de la Boqueria,41.38211018,2.172175384,Destacable,http://www.boqueria.barcelona/,"El Mercado de San Jose, popularmente conocido como La Boqueria​​, es un mercado municipal que se encuentra en la Rambla de Barcelona. Ademas de ser un lugar donde se puede comprar todo tipo de productos frescos, es tambien una atraccion turistica."
Parque Guell,41.41350925,2.153127196,Destacables,http://www.parkguell.cat,"El nombre del parque viene de Eusebio Guell, un empresario apasionado por las obras de arquitectura de Antonio Gaudi. El parque abrio sus puertas en 1992 y parece el decorado de un cuento. Hay formas onduladas, columnas con forma de arbol, figuras de animales y muchos simbolos relacionados con la politica y la religion. En la entrada principal hay 2 casas. Una casa es la tienda y la otra es la casa del guarda del parque. El parque tiene una pendiente importante, porque esta en el lado de una montaña. Hay escaleras en algunos caminos."
Museo Picasso,41.38533498,2.180807723,Destacable,http://www.museupicasso.bcn.cat/,"El museo Picasso de Barcelona, oficialmente y en catalan Museu Picasso, posee una coleccion de 4.251 obras del pintor malagueño Pablo Picasso en los multiples medios que abordo la cual es la mas completa del mundo en obras de su juventud."
Plaza Cataluña,41.38604508,2.169418215,Destacable,http://www.barcelonaturisme.com/,"Plaza central con arboles y esculturas, rodeada de tiendas y cafeterias, que se usa para eventos especiales."
Catedral de Barcelona,41.38401028,2.176134725,Destacable,http://www.catedralbcn.org/,Imponente catedral gotica con vistas a la ciudad y visitas guiadas; en uno de sus claustros viven ocas.
Camp Nou,41.38166881,2.122776885,Destacable,https://www.fcbarcelona.com/club/facilities/new-camp-nou,"El Camp Nou es un recinto deportivo propiedad del Futbol Club Barcelona. Se inauguro el 24 de septiembre de 1957 y su aforo actualmente es de 99 354 espectadores, siendo el estadio con mayor capacidad de Europa y el cuarto a nivel mundial.​"
Palacio Musica Catalana,41.3873631,2.175175414,Destacable,https://www.palaumusica.cat/,"El Palacio de la Musica Catalana​ es un auditorio de musica situado en la calle Sant Pere mes Alt en el barrio de la Ribera de Barcelona, España. Fue proyectado por el arquitecto barcelones Lluis Domenech i Montaner, uno de los maximos representantes del modernismo catalan"
Gran Teatro Liceo,41.38014677,2.173346729,Destacable,https://www.liceubarcelona.cat/,"El Gran Teatro del Liceo de Barcelona, conocido como El Liceo, es el teatro en activo mas antiguo y prestigioso de Barcelona, especialmente como teatro de opera, entre los que es considerado uno de los mas importantes del mundo"
Mirador de Colon,41.375809,2.177796319,Destacable,http://www.barcelonaturisme.com/,"El Monumento a Colon es un conjunto escultorico situado en la plaza del Portal de la Paz de Barcelona, en el distrito de Ciutat Vella. Construido en homenaje al descubridor Cristobal Colon"
Arco del Triunfo de Barcelona,41.39183879,2.180765377,Destacable,http://www.barcelonaturisme.com/,Arco clasico construido como entrada principal a la Exposicion Universal que se celebro en la ciudad en 1888. Aparcamiento adaptado.
