,latitud,longitud,calle,accesibilidad
0,41.3708117975926,2.1738835743423937,ctra de miramar,no
1,41.370144297160145,2.173775121825533,ctra de miramar,media
2,41.36995388814848,2.1737717450137017,ctra de miramar,no
3,41.3694005881648,2.1736258303490774,ctra de miramar,no
4,41.37180264241849,2.1695965394106613,passeig de montjuic,no (escalones)
5,41.37159083775181,2.169498368445978,carretera de montjuic,media (rampa)
6,41.37088975529189,2.167651796122547,carrer de la font trobada,media (rampa)
7,41.37154611320462,2.1697715488788183,carretera de montjuic,"media (mala superficie, no peatonal)"
8,41.37046290900039,2.165499642494315,passeig de miramar,media (rampa)
9,41.37013643573347,2.165739057443092,passeig de miramar,media
10,41.36864304046681,2.1570984853898723,passeig de santa madrona,media
11,41.36865932682743,2.156041141333783,passeig de santa madrona,media
12,41.367304690292094,2.1578046181697847,passeig de santa madrona,media
13,41.369878633612565,2.1681421499066253,crta de montjuic,no
14,41.36929008484769,2.1702590020911523,crta de montjuic,media
15,41.365869974912215,2.1649541403308703,carrer dels tarongers,media (superficie)
16,41.36656805916408,2.163927044043457,carrer dels tarongers,no
17,41.366624529376466,2.165384615647649,carrer dels tarongers,no
18,41.36708306231754,2.1458292414190536,av dels montanyans,no
19,41.36747796335503,2.1475492526675675,av dels montanyans,media
20,41.36867093638602,2.1548422075480165,av dels montanyans,no
21,41.36911255898431,2.155483338448099,av dels montanyans,media
22,41.36954738053567,2.1571461206113343,carrer de lleida,no (escalones)
23,41.370447936641,2.1560297428852677,passeig de Santa Madrona,media
24,41.370386046677055,2.154811255753,passeig de jean forestier,no (escalones)
25,41.37159025208211,2.1537667640931,placa de carles buigas,no
26,41.36300315742406,2.154748999273184,parc de Montjuïc,media
27,41.384136062452924,2.17107894775569,la ramba,media (multitud)
28,41.381334347222634,2.1754216578315533,calle de ferrán,media (multitud)
29,41.38255947689572,2.1769687546325254,plaza de san jaime,media (multitud)
30,41.3670448257848,2.1638310052689445,carrer doctor font i quer,no
31,41.366664640126864,2.161391720812013,carrer doctor font i quer,no
32,41.362783117330515,2.161201319304514,carrer de can valero,media (rampa)
33,41.36318325266157,2.1576327794602954,carrer de can valero,media
34,41.36450501838002,2.162832491373501,passeig del migdia,no
35,41.36485655293489,2.1648976530618875,passeig del migdia,no (carril bici solo)
36,41.36457173899156,2.1639530255425163,carrer del castell,no (superficie)
37,41.365421241005905,2.1674398972266378,crta de montjuic,"no (rampa, superficie)"
38,41.36770196865726,2.1425546274596474,carrer de la font florida,media
39,41.38533554663722,2.163435373027437,plaza de la universidad,media (multitud)
40,41.37886442933502,2.1636719929373225,carrer de sant antoni abat,media
41,41.379171605627484,2.1648279771121084,carrer de sant antoni abat,media
42,41.379589062205646,2.1672723121130404,carrer de l'hopital,media
43,41.38071607179754,2.1731476573117785,carrer de sant pau,media (multitud)
44,41.378730041347204,2.1716655526438946,carrer de sant pau,media (multitud)
45,41.37806093776669,2.170945876373602,carrer de sant pau,no
46,41.380104617145214,2.1796986542139765,carrer ample,media
47,41.38157935291166,2.17595571597634,carrer d'avinyó,media
48,41.38097787647949,2.1771206268492107,carrer d'avinyó,no
49,41.379721832479206,2.180363331345984,carrer d'avinyó,no
50,41.38062779759102,2.181253996631999,carrer d'en gignàs,no
51,41.38037999874986,2.177943194314206,carrer d'en carabassa,media (superficie)
52,41.37979905474931,2.179378460237116,carrer d'en carabassa,media (superficie)
53,41.38433537752386,2.175289292818159,plaça nova,media (multitud)
54,41.3810711024702,2.1668576420864896,carrer del peu de la creu,media
55,41.38101117855781,2.1578440120270668,carrer del comte borrell,media (obras)
56,41.38098881888897,2.1578604784836526,carrer del comte borrell,media (obras)
57,41.37999190652862,2.1592002240590524,carrer del comte borrell,media (obras)
